Annual_Rainfall,Seasonal_Rainfall,Cloud_Visibility,Humidity,Temperature,Wind_Speed,Flood_Occurred
400.0,229.6,6.67,49.1,30.2,5.2,0
2775.3,1560.0,4.11,62.7,30.9,19.8,1
2260.9,1254.7,4.02,55.8,33.1,13.2,0
1990.7,1342.6,6.24,54.6,28.0,16.1,0
2264.2,1336.2,3.38,63.2,28.2,21.8,1
808.7,588.2,6.38,43.0,30.2,16.8,0
2046.2,881.5,4.77,64.9,30.8,9.7,0
2450.0,1387.4,5.37,54.0,27.1,18.8,1
3234.5,1811.8,4.09,70.1,19.2,11.6,1
1837.2,774.7,5.36,61.6,33.8,15.1,0
1634.1,1086.2,3.2,60.7,34.9,15.1,0
1848.8,1532.6,4.58,65.1,26.7,19.0,0
2840.8,1556.6,3.22,58.7,25.2,15.1,1
2430.1,1483.8,5.89,55.0,28.2,29.0,0
1829.2,1024.6,4.72,60.7,29.1,8.4,0
2559.3,1188.5,2.86,67.7,32.3,20.6,1
2268.0,751.8,5.48,49.2,30.4,6.1,0
2878.1,1339.2,4.98,54.2,26.6,18.7,1
1708.6,654.3,8.09,35.5,26.5,15.2,0
1970.6,1486.8,5.28,57.5,31.2,16.8,0
1925.5,1032.4,5.8,55.5,31.4,10.9,0
1175.5,597.7,6.47,59.0,33.8,12.3,0
2407.3,1580.9,4.2,68.9,25.5,18.6,1
2382.7,989.8,6.02,57.4,35.3,24.4,0
2203.6,1009.2,6.23,53.5,24.5,8.5,0
2035.8,1136.3,4.52,54.4,31.5,11.2,0
1209.2,814.4,6.43,61.2,24.4,14.4,0
1905.5,1162.8,4.04,59.5,27.0,13.1,0
1960.1,1136.5,6.92,45.2,34.1,13.9,0
1638.4,916.5,4.74,50.4,32.4,19.7,0
2087.1,1248.1,5.96,54.5,27.5,0.0,0
2482.8,1425.6,6.54,59.1,27.2,12.6,1
3520.3,1501.1,4.28,67.0,28.9,6.1,1
2322.2,1290.1,4.88,59.6,30.6,8.2,0
2380.3,1002.5,6.05,55.3,33.5,28.2,0
2147.9,1202.2,4.38,66.8,27.9,18.5,0
856.9,421.9,8.24,42.5,26.2,16.1,0
2181.4,1864.5,3.45,80.5,28.2,18.2,1
2242.2,1222.5,5.18,55.2,27.8,19.5,0
3924.3,1497.1,4.23,64.1,24.7,6.0,1
2065.3,1102.7,4.73,55.6,30.4,20.5,1
2411.1,1476.4,4.18,63.9,28.0,11.5,1
2175.7,1633.5,4.0,68.3,29.2,14.1,1
1381.9,662.3,5.52,53.0,27.8,14.8,0
3000.0,1080.3,5.18,52.5,31.0,16.1,0
2726.4,1766.7,6.4,61.0,24.0,18.6,1
2753.7,1058.3,3.56,71.6,27.1,5.9,1
1563.4,778.1,6.22,49.3,29.5,13.0,0
3182.0,1651.7,4.62,70.2,33.5,23.2,1
1218.7,660.1,7.28,40.7,32.8,8.6,0
2610.8,1651.9,4.51,64.3,31.5,25.3,1
3733.3,1747.1,4.14,66.7,32.3,12.7,1
1506.6,779.2,6.06,55.1,41.0,12.5,0
1803.6,988.9,6.9,39.2,29.9,22.9,0
2269.8,1289.1,4.77,61.3,33.3,11.3,0
1847.6,1037.9,4.7,49.4,32.7,20.3,0
1114.5,671.3,5.57,52.5,33.5,23.7,0
2248.0,1464.0,4.27,56.8,34.0,17.4,1
1456.4,869.6,5.57,48.5,28.8,9.8,0
2531.5,1530.1,4.78,62.4,27.0,12.1,1
1556.4,560.5,6.99,42.5,31.7,19.0,0
3285.0,1826.5,5.77,65.8,27.3,26.1,1
1651.7,1003.5,5.59,48.6,30.7,22.4,0
1974.6,1258.7,6.49,48.8,33.8,15.0,0
2769.5,1293.1,4.86,66.4,27.6,21.6,1
1338.4,630.3,7.73,42.1,29.6,11.3,0
2359.2,1135.0,5.84,56.8,29.9,9.2,0
3115.0,1913.8,2.88,74.6,26.9,25.7,1
1074.8,724.5,4.87,47.7,24.6,21.9,0
2329.2,1167.2,5.84,53.4,27.6,8.5,0
2381.9,1569.6,4.06,66.0,30.5,10.7,1
2747.3,1551.7,3.35,71.1,32.8,17.1,1
1334.1,713.9,5.48,44.2,26.9,17.8,0
1275.7,669.3,6.27,49.6,27.0,5.0,0
2565.4,1640.8,6.39,55.4,28.3,18.7,0
2407.9,1418.4,4.67,59.9,22.5,12.6,1
2375.3,1955.1,4.39,70.9,26.2,23.4,1
2442.5,1093.6,5.65,52.1,24.3,9.5,0
1724.0,1055.4,4.6,53.8,33.7,18.7,0
2362.6,1149.4,6.46,49.6,27.1,13.6,0
2405.2,1071.9,4.5,57.3,34.5,8.5,0
1700.0,932.8,5.21,61.0,33.2,13.7,0
3506.0,1986.1,4.07,64.6,25.5,7.7,1
2531.7,2278.5,4.37,72.1,23.6,17.7,1
1366.1,721.2,4.94,54.3,29.8,14.1,0
2659.6,1102.1,5.16,64.6,29.2,3.7,0
1517.7,884.5,5.68,44.9,31.0,0.0,0
2751.0,828.2,5.48,52.0,27.8,0.0,0
3011.0,1622.8,1.46,67.2,30.5,25.2,1
1625.5,897.2,7.42,53.5,30.7,12.7,0
2874.4,1855.0,5.58,54.3,26.7,15.4,1
2488.9,1659.7,3.6,69.1,26.1,23.2,1
2775.4,1358.8,3.39,70.5,28.3,13.3,1
3527.8,1876.5,3.62,70.2,25.3,20.3,1
2028.2,929.1,6.65,48.4,30.1,13.5,0
1672.4,693.4,4.74,47.8,30.7,9.1,0
1577.3,926.2,4.8,65.2,30.7,15.1,0
1628.9,647.0,7.15,55.6,35.8,16.3,0
2146.0,1073.5,4.23,60.7,29.1,13.0,0
2438.8,1050.1,5.36,58.6,32.6,11.2,0
2393.7,1474.4,6.78,59.2,29.3,14.4,0
2779.0,2129.2,4.23,72.3,26.4,6.4,1
2209.1,870.0,5.88,53.2,29.7,14.7,0
3217.5,1054.2,5.61,59.9,29.4,6.8,1
2014.7,1077.9,4.44,66.0,30.4,17.9,0
4104.1,2265.0,3.98,82.3,23.9,20.4,1
2638.0,1520.1,4.94,55.4,24.1,17.3,1
1600.0,794.3,4.21,53.8,32.1,16.7,0
1450.4,762.8,5.3,56.4,33.0,6.8,0
2537.7,1507.7,3.65,67.4,30.8,18.8,1
2043.6,1379.1,4.93,57.9,29.3,17.5,0
2699.8,851.5,4.35,70.9,32.4,11.8,1
2531.3,1280.1,6.55,52.5,31.2,9.7,0
2149.0,1237.1,6.14,52.9,31.5,18.6,0
1607.2,706.9,6.13,52.5,27.8,16.3,0
1139.6,863.5,4.87,66.3,26.7,13.6,0
1887.4,894.2,5.21,49.0,28.8,6.7,0
2799.5,1525.8,3.02,62.4,28.5,13.6,1
2349.9,1449.2,4.42,69.2,28.0,15.9,1
1328.0,636.2,6.78,49.9,24.9,15.8,0
2321.2,762.3,5.98,50.0,35.4,2.9,0
2469.7,1231.3,4.48,62.7,28.4,11.7,1
1581.3,1065.1,5.68,58.4,30.1,11.7,0
2307.6,1175.9,4.74,64.7,33.0,14.2,1
2240.7,1004.8,6.33,63.5,22.7,5.9,0
1399.9,925.5,6.51,56.4,28.3,12.0,0
2450.5,1250.5,5.75,61.4,28.0,13.3,0
2592.5,1267.2,5.6,61.2,28.1,9.0,1
2958.1,1680.0,3.15,69.3,27.6,16.9,1
2937.7,1887.4,4.55,70.0,32.0,15.5,1
1235.6,1032.7,5.78,56.2,31.7,16.9,0
1543.5,1002.2,5.51,62.9,32.6,8.4,0
2560.5,1764.7,4.01,76.8,28.1,18.6,1
2559.7,1252.4,6.1,50.6,24.9,10.3,1
2560.5,1093.1,7.53,57.2,23.3,10.6,0
4800.0,2675.9,2.96,77.9,21.3,25.1,1
2599.6,1463.2,5.63,61.1,29.7,17.8,1
2994.9,1259.6,4.55,62.2,29.2,12.7,1
2867.8,1517.0,5.02,67.9,27.9,15.1,1
2656.0,1588.1,5.34,64.3,27.3,8.4,1
1979.3,1174.2,6.33,47.0,35.4,23.1,0
2731.3,1667.5,6.15,60.4,25.7,21.7,1
1659.0,970.4,4.49,60.6,32.6,17.5,0
2034.2,995.1,6.3,39.2,29.7,4.1,0
1860.2,908.4,5.35,61.4,29.7,9.6,0
2257.3,916.8,6.15,57.5,33.4,11.2,0
3820.3,2919.3,1.91,93.8,29.7,13.1,1
892.9,492.5,7.49,46.5,30.2,16.2,0
2680.4,1401.9,5.19,49.7,31.2,24.7,1
1071.1,469.7,5.32,50.0,32.0,23.1,0
1869.6,1682.7,4.1,74.1,28.2,11.3,0
2962.3,1247.7,4.66,65.2,29.8,15.8,1
2245.0,1119.2,6.04,53.6,27.4,22.3,0
1445.6,867.2,5.69,54.1,29.1,11.4,0
1699.3,1057.0,5.39,53.4,27.8,10.6,0
2675.7,1779.2,4.51,63.0,30.6,7.0,1
1688.7,1295.1,4.66,66.1,28.8,22.2,0
2351.5,1436.2,5.06,55.4,24.8,16.1,0
2231.9,944.7,5.83,49.5,27.7,9.0,0
1743.9,905.4,5.83,47.6,20.3,14.9,0
3700.8,2172.1,4.88,65.2,25.6,21.3,1
2643.7,2110.2,3.77,74.0,27.3,21.1,1
782.4,299.1,8.02,51.7,30.9,8.4,0
2330.5,1618.1,4.7,64.3,34.2,27.0,1
1736.7,992.7,5.73,46.6,31.5,12.9,0
2796.7,1819.4,5.94,73.6,29.4,28.1,1
1645.2,884.7,5.34,64.0,25.0,16.4,0
2119.7,951.5,6.67,51.1,28.7,15.5,0
2553.5,1634.5,5.14,62.8,26.8,16.7,1
2806.0,1763.7,4.53,70.8,25.6,23.9,1
1359.8,906.5,5.43,64.0,27.5,13.9,0
1965.8,1078.1,4.73,53.8,24.1,8.6,0
1867.5,892.7,6.56,46.0,26.1,7.3,0
1742.7,632.5,4.82,53.7,33.2,14.1,0
3435.8,2227.5,3.0,79.8,26.5,15.3,1
2483.5,1492.2,4.12,63.5,27.1,16.2,1
1317.4,571.9,6.76,45.6,30.7,17.6,0
2842.5,1379.7,4.74,67.6,32.3,17.7,1
3685.5,1820.6,4.32,71.8,27.9,14.1,1
2922.7,1087.4,5.94,52.5,31.1,22.7,1
1136.4,513.5,5.84,48.4,28.3,14.2,0
1861.0,770.4,6.27,44.0,28.4,18.5,0
3086.8,1545.0,5.07,68.4,29.5,3.2,1
1704.6,786.4,6.85,50.8,35.9,14.5,0
2510.7,890.7,4.98,51.4,34.3,18.1,0
2742.2,2173.8,2.36,74.0,28.8,30.6,1
1551.1,1086.3,4.79,57.3,30.0,5.4,0
2158.3,985.3,6.01,60.9,34.0,20.9,0
400.0,233.1,7.53,47.2,33.9,19.2,0
1482.9,889.9,5.04,53.0,23.1,1.0,0
2023.2,1401.9,4.78,66.6,25.6,18.9,1
1326.6,599.3,7.5,51.8,31.6,15.1,0
3342.7,2276.5,3.91,73.2,21.4,19.0,1
1198.9,580.6,7.42,48.4,28.0,8.4,0
1892.0,737.3,6.83,50.7,28.2,16.2,0
2291.5,1459.5,3.82,66.0,27.9,12.6,1
3208.9,2261.9,3.42,73.3,26.0,19.6,1
1194.9,1028.3,5.67,53.8,28.8,18.8,0
3014.2,1223.9,4.41,71.0,31.7,25.5,1
2207.2,1399.1,5.2,67.6,28.0,19.2,0
1512.9,757.7,6.58,47.3,29.1,13.1,0
2523.5,1625.1,1.89,69.0,24.2,14.2,1
2339.3,873.8,4.64,54.4,33.1,6.9,0
1779.8,709.2,4.1,53.5,28.4,18.7,0
2248.9,1027.5,5.57,57.0,26.4,13.0,0
1930.3,1079.9,5.09,64.1,30.2,21.1,0
2279.5,1078.3,5.48,59.0,27.2,12.2,0
2663.5,1675.6,3.66,66.0,26.6,13.7,1
3310.2,2228.5,3.58,81.3,27.7,23.3,1
1333.5,829.4,6.29,54.4,29.1,12.3,0
3693.1,2748.6,1.55,83.9,32.7,16.5,1
833.5,500.0,5.06,49.7,30.6,21.8,0
2093.8,845.8,5.83,52.7,31.9,9.1,0
2611.8,1863.8,5.51,69.3,21.9,24.2,1
2396.7,1144.1,6.89,54.5,26.8,19.6,0
1764.1,1163.0,6.02,53.8,26.1,7.1,0
2054.3,1517.8,4.5,57.9,25.7,10.7,1
1854.9,1121.8,6.62,49.3,30.7,12.6,0
1787.4,662.2,6.1,45.1,33.6,6.6,0
2794.7,1229.2,4.6,58.3,30.2,25.4,1
2449.9,1736.3,2.54,67.9,27.4,16.7,1
1715.0,908.4,5.88,52.6,28.0,18.5,0
2829.7,1583.4,5.04,50.7,31.7,20.1,1
2415.1,1548.2,4.03,73.8,34.7,18.4,1
2769.0,1754.3,1.97,74.1,28.4,18.3,1
2640.7,1540.8,4.57,66.9,31.3,24.2,1
1619.7,850.3,3.03,64.8,31.1,7.9,0
1807.9,926.5,6.93,48.7,32.1,23.7,0
2723.1,1778.0,3.85,79.3,24.4,10.4,1
2627.3,1619.5,4.68,59.7,26.8,21.9,1
2185.4,1134.5,5.65,59.3,30.6,6.1,0
2282.1,1551.5,4.36,56.7,32.1,15.0,1
3094.4,1654.0,4.49,66.1,25.8,18.0,1
1785.9,799.7,6.34,54.9,24.1,9.6,0
2583.0,1185.4,2.81,57.7,27.8,13.7,1
2058.5,890.4,5.05,58.3,33.0,4.8,0
2047.6,1059.3,5.37,57.2,24.8,8.1,0
2969.1,2072.6,3.8,69.4,23.7,22.8,1
2777.8,1259.4,6.5,56.4,29.6,15.4,0
2769.5,1585.8,3.31,69.8,28.0,12.9,1
3113.8,1467.2,4.53,59.1,30.4,24.3,1
2214.7,1148.9,3.36,63.5,25.7,7.2,0
2677.4,987.4,6.24,62.9,28.8,11.5,0
1982.8,1038.1,5.97,46.3,33.2,10.9,0
2426.9,1278.4,4.24,66.9,25.5,19.0,1
2108.9,1296.6,4.13,72.7,33.5,15.7,1
2267.9,1308.1,5.42,62.1,25.8,14.8,0
2616.6,1062.8,5.45,60.3,32.1,3.0,1
1627.2,1106.7,7.03,63.6,28.4,19.5,0
3664.7,2108.1,4.16,71.5,23.7,18.7,1
1495.8,858.3,5.32,54.6,28.5,13.6,0
1350.1,741.0,6.06,43.8,31.9,7.7,0
3010.7,1468.8,4.37,63.9,28.6,11.0,1
2754.2,1586.8,3.14,67.9,31.7,26.1,1
2636.9,1600.8,4.34,68.3,32.6,6.5,1
2639.8,898.5,5.88,60.5,26.4,6.8,0
2191.4,1063.6,5.26,52.1,25.8,23.0,0
1571.9,816.5,5.41,49.6,26.2,16.5,0
2253.1,1308.4,5.43,71.9,26.3,13.5,0
1726.0,1196.4,4.12,57.9,32.6,22.3,1
2882.6,1318.5,3.26,61.9,30.7,18.2,1
2097.1,1028.1,4.59,55.8,28.0,15.3,0
1622.2,792.4,4.99,47.5,30.2,13.9,0
1975.0,896.3,5.33,63.8,34.2,15.9,0
2489.1,1265.3,5.02,56.7,34.8,18.3,1
1805.4,1160.0,5.56,51.5,30.1,27.8,0
1624.4,688.0,7.16,48.1,22.4,10.8,0
2370.6,1425.5,5.1,50.4,29.6,15.2,0
2371.5,820.0,6.72,49.0,32.9,5.3,0
1845.1,890.5,7.33,48.2,30.6,12.8,0
1870.3,954.7,4.98,58.7,32.0,24.6,0
2362.4,1774.1,5.11,63.8,29.0,24.0,1
1186.3,613.4,5.61,55.0,26.9,8.2,0
1214.8,347.2,6.77,53.8,28.5,10.2,0
1697.1,526.3,4.74,53.0,29.8,3.2,0
2050.6,1136.2,4.07,56.6,32.6,8.7,0
2417.6,1507.8,4.31,64.5,26.3,17.5,1
3232.7,1923.7,3.91,61.1,29.0,16.0,1
2800.4,1596.5,4.17,64.3,29.3,10.9,1
2088.0,1439.6,4.98,57.5,33.5,19.2,0
2186.7,1061.1,5.71,60.8,29.4,13.6,0
1498.2,984.9,4.15,70.9,24.5,4.2,0
2187.0,774.6,5.04,55.2,32.2,0.0,0
1997.9,881.9,6.28,41.9,36.4,9.6,0
2425.9,808.2,5.39,50.5,32.3,3.1,0
1620.9,838.1,5.0,53.9,27.7,1.6,0
2563.5,1395.7,3.54,62.5,25.6,22.7,1
3272.9,1844.9,4.48,64.6,24.9,18.0,1
2123.9,1183.9,4.66,60.1,35.3,13.2,0
2481.2,1088.5,6.68,49.6,28.5,13.1,0
2683.1,1414.5,4.07,56.6,26.8,9.3,1
1919.1,710.7,5.31,55.0,29.9,14.5,0
2356.9,1681.8,6.27,60.3,27.2,16.8,0
2208.8,1134.4,4.33,61.1,34.1,9.9,0
2268.4,1114.5,5.72,49.3,26.4,10.7,0
1658.9,1228.7,3.43,69.9,32.7,7.7,0
2217.2,888.9,4.96,49.3,30.3,10.6,0
2548.6,1057.5,6.76,55.3,33.2,12.6,0
3215.8,1345.7,4.95,63.1,33.7,13.1,1
2871.5,1555.9,4.94,61.1,28.7,17.2,1
3707.2,2231.0,2.05,75.9,26.0,20.3,1
1662.9,1062.2,5.47,60.1,29.8,15.5,0
2810.6,2413.3,3.69,83.7,26.2,27.4,1
2328.3,652.1,6.7,55.0,25.5,15.3,0
3732.9,2325.8,3.92,75.5,31.3,27.0,1
1634.2,789.6,5.04,51.5,30.9,7.4,0
1612.2,773.3,5.17,66.2,26.7,9.4,0
1780.4,846.8,5.92,59.0,23.9,16.8,0
713.3,314.5,5.63,39.4,24.3,13.8,0
1832.0,1377.9,3.96,62.3,31.2,11.8,0
1668.6,1086.4,6.24,55.1,27.7,17.9,0
2305.3,1274.3,5.83,59.2,27.7,9.6,1
2439.2,1737.0,3.57,59.9,29.5,20.8,1
3513.3,1294.6,5.85,57.9,27.5,15.2,1
2865.3,1118.4,4.65,68.4,31.1,6.1,1
1796.2,518.5,6.72,51.6,31.1,8.4,0
1571.1,732.2,6.51,36.6,30.1,25.3,0
2544.3,1448.8,4.78,70.1,24.0,17.5,1
1275.8,717.5,6.22,57.8,27.9,25.9,0
3482.0,1977.5,3.76,68.9,29.3,10.6,1
3025.6,1151.8,4.99,62.4,27.3,19.1,1
1871.6,1209.7,5.02,53.9,32.9,0.0,0
1000.8,579.2,7.75,46.3,37.7,11.3,0
3147.7,2008.1,3.12,80.5,29.4,23.3,1
2119.8,684.4,5.43,49.1,34.9,16.9,0
3066.5,1801.2,4.4,57.1,30.0,13.5,1
1083.9,441.7,6.59,46.6,29.4,16.8,0
1780.4,894.4,6.34,53.6,30.6,9.9,0
2203.7,1353.3,3.37,68.5,34.9,14.7,0
2232.9,1252.5,6.58,59.8,27.6,12.6,0
1885.0,844.1,6.21,50.7,27.0,6.0,0
2636.0,1451.8,4.71,69.1,25.3,25.7,1
1452.7,532.0,6.18,49.1,30.1,11.3,0
2100.3,1445.1,5.12,58.2,25.7,22.8,0
2284.2,1200.0,4.59,65.8,34.3,21.1,1
2560.1,1751.7,5.01,68.7,28.6,12.2,1
2698.1,1313.5,5.0,60.7,31.9,22.8,1
1412.8,688.3,6.59,51.9,29.5,15.0,0
1126.1,516.1,6.44,41.7,27.4,4.7,0
3094.4,2027.3,4.19,68.7,23.4,22.3,1
2432.6,1130.8,4.67,57.8,26.7,8.3,0
1676.1,1051.5,6.5,55.4,30.6,23.6,0
3285.8,1656.4,3.23,73.7,29.8,22.3,1
2281.0,713.7,5.66,52.5,32.2,11.7,0
3025.5,1457.0,4.15,68.0,24.2,23.9,1
2247.3,918.0,5.38,54.5,29.9,3.8,0
3642.5,2018.2,3.96,78.1,24.3,15.0,1
3428.7,1396.0,4.45,64.3,30.0,14.5,1
2025.7,1339.2,6.07,61.1,30.4,29.1,1
2880.1,1552.6,3.96,64.3,24.9,10.4,1
2651.8,1402.0,5.39,56.3,31.7,5.8,0
3158.0,1985.5,3.05,74.2,34.5,10.7,1
1524.6,1014.8,5.86,55.7,32.2,19.2,0
2680.2,1467.7,4.94,60.1,28.2,12.8,1
2940.9,1345.3,4.36,67.8,28.0,14.7,1
968.9,326.6,8.13,37.6,30.6,14.4,0
1371.7,641.5,5.78,47.5,28.3,10.7,0
772.5,367.7,6.62,51.9,31.9,11.3,0
2011.4,1132.1,4.56,59.7,26.0,17.7,0
2702.3,1374.3,5.01,61.3,23.2,13.3,1
3251.6,2056.8,2.7,73.8,28.0,18.8,1
2251.9,1072.9,4.8,57.9,29.6,15.6,0
3340.0,1814.2,4.74,59.4,26.1,23.6,1
1233.9,854.0,7.37,51.3,26.2,8.1,0
1007.6,595.5,5.61,59.1,31.5,0.0,0
2161.1,1173.0,6.84,54.5,26.3,18.8,0
2468.8,1179.5,5.54,56.6,28.9,20.3,0
2177.1,1032.0,5.39,53.0,34.9,15.1,0
752.8,337.2,7.9,44.8,33.2,11.5,0
2137.6,1036.9,6.06,52.8,25.5,10.5,0
1286.9,824.5,5.1,55.9,26.3,15.7,0
2668.8,1396.8,5.16,63.1,29.3,21.1,1
2456.6,953.2,5.05,59.6,25.7,13.8,0
1542.1,1175.3,4.09,52.2,23.3,29.7,0
1840.3,1082.8,6.28,55.0,31.1,4.8,0
1458.6,556.0,7.24,47.4,31.7,12.2,0
2156.1,1071.5,6.69,59.6,30.9,7.1,0
2868.6,1615.9,5.17,60.6,29.1,22.5,1
1510.0,1139.4,4.71,63.4,29.2,5.0,0
2552.8,1064.6,5.59,63.8,27.6,6.1,1
1828.8,1220.1,6.26,53.2,30.8,11.2,0
1645.0,1181.0,6.74,55.6,33.9,16.3,0
2125.1,1008.5,5.7,52.7,28.2,10.2,0
1475.3,762.3,4.69,67.8,27.2,8.8,0
1812.4,771.5,5.52,49.5,26.8,11.3,0
1361.5,715.6,5.73,61.3,27.8,10.6,0
3575.3,1950.7,3.23,63.1,28.1,28.1,1
2224.7,1399.7,5.9,56.1,22.4,20.1,1
1710.2,1164.3,6.01,54.2,30.7,12.7,0
2349.8,1081.4,6.22,51.9,31.5,26.8,0
2121.4,665.9,6.31,48.9,25.1,14.8,0
2045.3,1119.7,6.85,53.3,26.5,8.6,0
2629.9,1539.1,5.67,59.3,28.7,18.3,0
2730.3,1583.4,3.58,71.8,28.0,20.3,1
1828.6,934.1,4.65,62.0,31.4,9.2,0
1796.9,1015.2,4.4,61.6,29.3,7.5,0
2007.5,1469.2,4.97,66.2,32.4,16.9,0
588.7,350.7,5.77,46.1,30.2,7.8,0
1139.4,575.6,7.31,46.1,27.7,20.2,0
3156.8,1546.8,6.07,58.6,25.3,21.3,1
3351.5,1775.0,3.38,70.1,30.1,14.3,1
2025.7,1512.0,5.02,56.7,28.6,19.2,1
2603.6,1374.7,5.33,55.6,30.8,23.5,1
2417.9,1324.1,5.21,67.7,30.8,7.2,1
4355.2,2143.3,4.11,85.1,21.0,14.1,1
2983.7,2034.5,2.29,74.3,23.9,19.6,1
2110.5,1657.1,3.71,72.7,25.2,17.7,1
1531.1,924.9,5.54,53.1,27.4,13.0,0
1075.5,602.2,5.63,41.4,29.4,9.6,0
2342.4,1298.7,4.38,64.1,32.0,13.5,1
1670.6,440.8,6.57,50.3,34.6,12.8,0
1204.4,770.1,5.66,52.5,29.4,19.2,0
1747.4,989.2,4.41,54.1,29.0,10.8,0
1442.9,867.8,7.64,59.4,27.9,27.6,0
3381.0,1570.9,5.2,58.8,28.7,28.7,1
2817.1,1419.5,5.24,57.7,29.4,24.1,1
2194.4,1098.7,4.91,51.2,31.9,18.0,0
3236.0,2176.5,3.74,74.7,29.4,32.5,1
2254.2,1137.3,5.62,51.3,22.5,12.8,0
1597.1,1277.6,3.84,56.0,28.6,10.3,0
3266.2,1965.3,3.36,66.6,31.7,16.1,1
2577.2,1023.0,6.24,54.5,28.3,7.8,0
1473.9,787.9,8.06,43.5,33.6,13.2,0
2066.8,975.1,5.83,55.8,28.9,15.4,0
1587.1,455.0,6.8,54.6,31.5,11.8,0
1232.0,914.1,5.49,55.2,26.5,13.1,0
2848.3,1806.9,3.46,77.6,24.6,19.1,1
3536.6,2171.4,3.88,82.1,29.2,30.8,1
